,23-21R,23-21L,23-27R,23-27L,23-34R,23-34L,22-20R,22-20L,23-6R,23-6L,23-24R,23-24L,23-25R,23-25L
cp_brch,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mid12_brch,1,1,1,2,1,1,1,1,1,1,1,1,1,1
mid10_brch,1,1,1,2,1,1,1,1,1,1,1,1,1,1
mid_brch,2,2,4,4,2,2,2,2,1,1,2,2,2,2
tip_brch,2,2,3,2,2,2,2,2,1,1,1,1,2,1
leg_length,33.3,33.4,36,36.4,31,31,37.5,38,36.5,38,35,35,34.7,34.8
width_mm,35.3,35.6,36,36.6,37.7,34.5,44.4,42,38.2,38.8,32,35,32.4,37.5
tip_mid,17.2,12.4,24.2,23,12.3,16.5,20.2,22.8,20.5,28.1,18.9,19.4,12.2,18
tip_sn1,38.3,12.5,18.2,19.2,20.5,30.8,24.9,18.6,6.2,8.5,24,16.1,11.2,0
tip_sn2,32.5,13.3,12,15.4,15.9,21.2,11,10.1,NaN,NaN,Nmb,Nmb,3.2,Nmb
tip_sn3,Nmb,NaN,4.8,Nmb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tip_sn4,NaN,NaN,Nmb,Nmb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tip_sn_tk1,1.1,1.5,2.1,1.2,2.8,1.2,1.5,1.1,1.3,1.2,1.2,1.3,2,1.3
tip_sn_tk2,1.2,1.6,1.1,2,2.4,2.6,0.9,1.2,NaN,NaN,Nmb,Nmb,0.5,Nmb
tip_sn_tk3,Nmb,NaN,1.9,Nmb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tip_sn_tk4,NaN,NaN,Nmb,Nmb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid_sn1,5.2,-13.5,-4,-6.9,-1.9,-1,-3.9,-14.1,-19.9,-12.4,3.9,8.1,-10,2
mid_sn2,0,-15.6,-10.4,-10.1,-7,-4.9,-17.2,-20.1,NaN,NaN,-1.5,0,NaN,-3.4
mid_sn3,NaN,NaN,-16.5,-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid_sn4,NaN,NaN,-23.1,-20.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid_sn_tk_1,1.2,1.8,1,1.6,1.4,2.6,1.4,1.4,1.5,1.3,1.2,1.1,2.4,1.3
mid_sn_tk_2,2,1.6,1.5,2,2.2,1.1,2,1.4,NaN,NaN,1,2.2,NaN,2.1
mid_sn_tk_3,NaN,NaN,1.8,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid_sn_tk_4,NaN,NaN,1.3,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid10_sn1,-11.8,-6,-1.2,-5.5,-2.5,0,4.7,5.2,-2.3,-3.2,-5,-3,0,2.1
mid10_sn2,NaN,NaN,NaN,-3.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid10_sn3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid10_sn4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid10_sn_tk1,1.6,1.4,1.6,0.6,1.8,1.5,2.7,1.2,1,1.2,2.8,1.3,1.6,1.5
mid10_sn_tk2,NaN,NaN,NaN,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid10_sn_tk3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid10_sn_tk4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid12_sn1,-4.2,-3.8,1,-3,-3,1.9,4.7,8.3,0,0,-5.4,-2.8,0,0.8
mid12_sn2,NaN,NaN,NaN,-1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid12_sn3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid12_sn4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid12_sn_tk1,1.5,1.8,1.8,0.8,2,1.5,2.8,1.2,1.1,1.2,3.1,1.6,1.95,2
mid12_sn_tk2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid12_sn_tk3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mid12_sn_tk4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tip_bp,1.9,5.72,10.8,14.6,6.38,4.2,3.84,6.8,Nmb,Nmb,8.6,13.8,1.04,9.8
tip_bp2,NaN,NaN,NaN,NaN,NaN,NaN,9.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tip_cp,15.7,23.6,13.5,16.1,16.5,10,9.5,8.8,12,12,9.3,16,13,14.5
sn_sfn_ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
